rxn	MGYG000000076	MGYG000005177	MGYG000049266	MGYG000073722	MGYG000082523	MGYG000111157	MGYG000142005	MGYG000164457	MGYG000167059	MGYG000241626	MGYG000258880	MGYG000278633
rxn00272_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00283_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00293_c0	1	1	1	0	1	1	1	1	1	1	1	1
rxn00295_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00297_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00299_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00300_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00301_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00303_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00304_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00313_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00337_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00338_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00340_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00342_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00346_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00351_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00356_c0	0	0	1	1	1	1	0	0	0	0	1	1
rxn00358_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00359_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00361_c0	0	0	1	0	0	0	0	0	0	0	0	0
rxn00363_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00364_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00365_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00368_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00369_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00379_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00380_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00392_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00394_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00395_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00401_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00405_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00409_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00410_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00411_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00412_c0	1	1	1	1	1	1	1	0	1	1	1	1
rxn00414_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00416_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00420_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00423_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00425_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00426_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00427_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00430_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00438_c0	1	1	1	1	1	1	1	1	1	1	1	1
