rxn	MGYG000000074	MGYG000006284	MGYG000006869	MGYG000006906	MGYG000030607	MGYG000063312	MGYG000072808	MGYG000140008	MGYG000148481	MGYG000233340
rxn00762_c0	1	0	1	1	1	1	1	1	1	1
rxn00763_c0	1	1	1	1	1	1	1	1	1	1
rxn00765_c0	1	1	1	1	1	1	1	1	1	1
rxn00770_c0	1	1	1	1	1	1	1	1	1	1
rxn00772_c0	0	0	0	1	1	1	0	1	1	0
rxn00777_c0	1	1	1	1	1	1	1	1	1	1
rxn00778_c0	1	0	1	1	1	1	1	1	1	1
rxn00781_c0	1	1	1	1	1	1	1	1	1	1
rxn00782_c0	1	0	1	1	1	1	1	1	1	1
rxn00785_c0	1	1	1	1	1	1	1	1	1	1
rxn00786_c0	1	1	1	1	1	1	1	1	1	1
rxn00789_c0	1	0	1	1	1	1	1	1	1	1
rxn00790_c0	1	1	1	1	1	1	1	1	1	1
rxn00797_c0	1	0	1	1	1	1	1	1	1	1
rxn00798_c0	0	1	0	0	0	0	0	0	0	0
rxn00799_c0	1	0	1	1	1	1	1	1	1	1
rxn00800_c0	1	1	1	1	1	1	1	1	1	1
rxn00802_c0	1	1	1	1	1	1	1	1	1	1
rxn00806_c0	1	1	1	1	1	1	1	1	1	1
rxn00808_c0	1	0	1	1	1	1	1	1	1	1
rxn00816_c0	1	0	1	1	1	1	1	1	1	1
rxn00817_c0	1	1	1	1	1	1	1	1	1	1
rxn00818_c0	1	1	1	1	1	1	1	1	1	1
rxn00819_c0	1	1	1	1	1	1	1	1	1	1
rxn00830_c0	1	0	1	1	1	1	1	1	1	1
rxn00831_c0	1	1	1	1	1	1	1	1	1	1
rxn00832_c0	1	1	1	1	1	1	1	1	1	1
rxn00833_c0	0	1	0	0	0	0	0	0	0	0
rxn00834_c0	1	1	1	1	1	1	1	1	1	1
rxn00838_c0	1	1	1	1	1	1	1	1	1	1
rxn00840_c0	1	1	1	1	1	1	1	1	1	1
rxn00851_c0	1	0	1	1	1	1	1	1	1	1
rxn00856_c0	1	1	1	1	1	1	1	1	1	1
rxn00859_c0	1	1	1	1	1	1	1	1	1	1
rxn00862_c0	1	0	0	0	0	0	0	0	0	0
rxn00863_c0	1	1	1	1	1	1	1	1	1	1
rxn00865_c0	1	1	1	1	1	1	1	1	1	1
rxn00867_c0	1	1	1	1	1	1	1	1	1	1
rxn00871_c0	1	1	1	1	1	1	1	1	1	1
rxn00872_c0	1	0	1	1	1	1	1	1	1	1
rxn00873_c0	1	1	1	1	1	1	1	1	1	1
rxn00875_c0	1	1	1	1	1	1	1	1	1	1
rxn00890_c0	1	1	1	1	1	1	1	1	1	1
rxn00892_c0	1	1	1	1	1	1	1	1	1	1
rxn00897_c0	1	1	1	1	1	1	1	1	1	1
rxn00898_c0	1	1	1	1	1	1	1	1	1	1
rxn00899_c0	1	0	1	1	1	1	1	1	1	1
rxn00902_c0	1	1	1	1	1	1	1	1	1	1
rxn00903_c0	1	1	1	1	1	1	1	1	1	1
rxn00904_c0	1	0	1	1	1	1	1	1	1	1
rxn00905_c0	1	0	1	1	1	1	1	1	1	1
rxn00907_c0	1	0	1	1	1	1	1	1	1	1
rxn00908_c0	1	1	1	1	1	1	1	1	1	1
rxn00910_c0	0	0	0	1	0	0	0	0	0	0
rxn00912_c0	1	1	1	1	1	1	1	1	1	1
rxn00913_c0	1	1	1	1	1	1	1	1	1	1
rxn00916_c0	1	1	1	1	1	1	1	1	1	1
rxn00917_c0	1	1	1	1	1	1	1	1	1	1
rxn00927_c0	1	1	1	1	1	1	1	1	1	1
rxn00929_c0	1	0	1	0	0	1	1	1	1	1
rxn00931_c0	0	0	0	1	1	0	0	0	0	0
rxn00942_c0	1	1	1	1	1	1	1	1	1	1
rxn00947_c0	1	0	1	1	1	1	1	1	1	1
rxn00949_c0	0	1	0	0	0	0	0	0	0	0
rxn00950_c0	1	0	1	1	1	1	1	1	1	1
rxn00952_c0	1	0	1	1	1	1	1	1	1	1
rxn00953_c0	1	0	1	0	1	1	1	1	1	1
rxn00975_c0	1	1	1	1	1	1	1	1	1	1
rxn00977_c0	1	1	1	1	1	1	1	1	1	1
rxn00979_c0	0	1	0	0	0	0	1	1	0	0
rxn00990_c0	1	1	1	1	1	1	1	1	1	1
rxn00993_c0	1	1	1	1	1	1	1	1	1	1
rxn00997_c0	1	0	1	1	1	1	1	1	1	1
rxn00998_c0	1	0	1	1	1	1	1	1	1	1
rxn01011_c0	1	1	1	1	1	1	1	1	1	1
rxn01013_c0	1	0	1	1	1	1	1	1	1	1
rxn01018_c0	1	1	1	1	1	1	1	1	1	1
rxn01019_c0	1	0	1	1	1	1	1	1	1	1
rxn01052_c0	0	0	0	0	0	0	0	0	1	0
rxn01053_c0	0	0	0	0	0	0	0	1	0	0
