rxn	MGYG000000074	MGYG000006284	MGYG000006869	MGYG000006906	MGYG000030607	MGYG000063312	MGYG000072808	MGYG000140008	MGYG000148481	MGYG000233340
rxn00646_c0	1	1	1	1	1	1	1	1	1	1
rxn00649_c0	1	1	1	1	1	1	1	1	1	1
rxn00650_c0	1	1	1	1	1	1	1	1	1	1
rxn00653_c0	1	0	1	1	1	0	1	1	1	1
rxn00656_c0	0	1	0	0	0	0	0	0	0	0
rxn00657_c0	0	1	0	0	0	0	0	0	0	0
rxn00672_c0	1	0	1	1	1	1	1	1	1	1
rxn00676_c0	0	1	0	0	0	0	0	0	0	0
rxn00678_c0	1	0	1	1	1	1	1	1	1	1
rxn00684_c0	1	1	1	1	1	1	1	1	1	1
rxn00686_c0	1	0	1	1	1	1	1	1	1	1
rxn00689_c0	1	0	1	1	1	1	1	1	1	1
rxn00690_c0	1	0	1	1	1	1	1	1	1	1
rxn00692_c0	1	1	1	1	1	1	1	1	1	1
rxn00693_c0	1	0	1	1	1	1	1	1	1	1
rxn00701_c0	1	0	1	1	1	1	1	1	1	1
rxn00704_c0	1	1	1	1	1	1	1	1	1	1
rxn00707_c0	1	1	1	1	1	1	1	1	1	1
rxn00708_c0	1	1	1	1	1	1	1	1	1	1
rxn00709_c0	1	1	1	1	1	1	1	1	1	1
rxn00710_c0	1	1	1	1	1	1	1	1	1	1
rxn00711_c0	1	1	1	1	1	1	1	1	1	1
rxn00712_c0	1	1	1	1	1	1	1	1	1	1
rxn00713_c0	1	1	1	1	1	1	1	1	1	1
rxn00715_c0	1	1	1	1	1	1	1	1	1	1
rxn00723_c0	1	0	1	1	1	0	1	1	1	1
rxn00735_c0	1	0	1	1	1	1	1	1	1	1
rxn00736_c0	1	1	1	1	1	1	1	1	1	1
rxn00743_c0	1	1	1	1	1	1	1	1	1	1
rxn00747_c0	1	1	1	1	1	1	1	1	1	1
