rxn	MGYG000000099	MGYG000005380	MGYG000006816	MGYG000028321	MGYG000044926	MGYG000055012	MGYG000057648	MGYG000151681	MGYG000172598	MGYG000173425	MGYG000187342	MGYG000217838	MGYG000266151
rxn00126_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00132_c0	1	1	0	1	1	0	1	1	0	1	1	1	1
rxn00137_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00138_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00139_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00141_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00147_c0	1	0	1	1	1	1	1	1	1	1	1	1	0
rxn00148_c0	1	0	1	1	1	1	1	1	1	1	1	1	1
rxn00154_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00157_c0	0	0	0	0	0	0	0	0	0	1	0	0	1
rxn00159_c0	1	1	1	0	1	1	0	1	1	0	1	1	0
rxn00161_c0	1	1	1	0	1	1	1	1	1	0	1	1	0
rxn00162_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00165_c0	1	1	1	1	1	1	1	1	1	1	1	1	0
rxn00171_c0	1	1	1	1	1	0	1	1	1	1	1	0	1
rxn00173_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00174_c0	1	1	1	1	1	1	1	1	1	0	1	1	0
rxn00175_c0	1	1	1	1	1	1	1	1	1	0	1	1	0
rxn00176_c0	1	1	1	1	1	1	1	1	1	0	1	1	0
rxn00178_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00179_c0	1	1	1	1	1	1	1	1	1	0	1	1	0
rxn00182_c0	1	1	1	1	1	1	1	1	1	1	1	1	0
rxn00184_c0	1	1	1	1	1	1	1	1	1	1	1	1	0
rxn00187_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00189_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00190_c0	1	1	1	1	1	1	1	1	1	0	1	1	1
rxn00191_c0	1	1	1	1	1	1	1	1	1	0	1	1	0
rxn00192_c0	1	1	1	1	1	1	1	1	1	1	1	0	0
rxn00193_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00196_c0	1	1	1	1	1	1	1	1	1	0	1	1	0
rxn00198_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00199_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00203_c0	1	1	1	1	1	1	1	1	1	0	1	1	0
rxn00204_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00206_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00212_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00213_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00214_c0	1	1	1	1	1	1	1	1	1	1	1	1	0
rxn00216_c0	1	1	1	1	1	1	1	1	1	0	1	1	1
rxn00222_c0	0	1	0	0	0	0	0	0	0	0	0	0	0
rxn00223_c0	0	0	0	0	0	0	0	0	0	1	0	0	0
rxn00224_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00225_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00226_c0	1	1	1	1	1	1	1	1	1	0	1	1	0
rxn00231_c0	0	0	0	0	0	0	1	0	0	0	0	0	0
rxn00237_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00238_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00239_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00241_c0	1	1	1	1	1	1	1	1	1	0	1	1	0
rxn00242_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00247_c0	1	0	0	0	1	1	0	1	1	0	1	1	1
rxn00250_c0	1	1	1	1	1	1	1	1	1	1	1	1	0
rxn00256_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00259_c0	1	1	0	1	0	0	0	0	0	0	0	1	1
rxn00260_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00264_c0	1	1	1	1	1	1	1	1	1	1	1	1	0
rxn00272_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00278_c0	0	0	0	0	0	0	0	0	0	0	0	1	1
rxn00283_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00285_c0	1	0	0	1	1	0	1	0	1	0	0	1	0
rxn00292_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00293_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00295_c0	1	1	1	1	1	1	1	1	1	1	1	1	0
rxn00297_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00299_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00301_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00303_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00304_c0	1	0	1	1	1	1	1	1	1	1	1	1	1
rxn00313_c0	1	1	1	1	1	1	1	1	1	1	1	1	0
rxn00320_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00321_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00331_c0	0	0	0	0	0	0	0	0	0	0	0	0	1
rxn00337_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00340_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00342_c0	1	1	1	1	1	1	1	1	1	1	1	1	0
rxn00347_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00351_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00358_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00359_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00363_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00364_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00365_c0	1	0	1	1	1	1	1	1	1	1	1	1	0
rxn00368_c0	1	0	1	1	1	1	1	1	1	1	1	1	0
rxn00369_c0	1	0	1	1	1	1	1	1	1	1	1	1	0
rxn00392_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00394_c0	1	1	1	1	1	1	1	1	1	1	1	1	0
rxn00395_c0	1	1	1	1	1	1	1	1	1	1	1	1	0
rxn00401_c0	0	0	0	0	0	0	1	0	0	0	0	0	0
rxn00405_c0	1	1	1	0	1	0	1	1	1	0	1	0	1
rxn00408_c0	1	1	1	1	1	1	1	1	1	0	1	1	0
rxn00409_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00410_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00411_c0	1	0	1	1	1	1	1	1	1	1	1	1	1
rxn00412_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00414_c0	1	1	1	1	1	1	1	1	1	1	1	0	1
rxn00416_c0	1	0	1	1	1	1	1	1	1	1	1	1	1
rxn00420_c0	1	1	1	1	1	1	1	1	1	1	1	1	0
rxn00423_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00425_c0	1	1	1	1	1	1	1	1	1	1	1	1	0
rxn00426_c0	1	1	1	1	1	1	1	1	1	1	1	1	0
rxn00427_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00429_c0	1	1	1	1	1	1	1	1	1	0	1	1	0
rxn00430_c0	0	0	0	0	0	0	0	0	0	1	0	1	1
rxn00436_c0	1	1	1	1	1	1	1	1	1	0	1	1	0
rxn00440_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00442_c0	1	1	1	1	1	1	1	1	1	0	1	1	0
rxn00453_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00456_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00459_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00460_c0	1	0	1	1	1	1	1	1	1	1	1	1	1
rxn00461_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00463_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00467_c0	0	0	0	0	0	0	1	0	0	0	0	0	0
rxn00468_c0	0	0	0	0	0	0	1	0	0	0	0	0	0
rxn00469_c0	1	1	1	1	1	1	1	1	1	1	1	0	0
rxn00470_c0	1	1	1	1	1	1	0	1	1	1	1	1	0
rxn00472_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00473_c0	0	0	1	0	0	1	0	0	0	0	0	1	1
rxn00474_c0	1	1	1	1	1	1	1	1	1	0	1	1	1
rxn00483_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00490_c0	0	1	0	1	1	0	0	1	0	0	0	1	0
rxn00493_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00499_c0	1	0	0	1	1	0	1	0	1	1	0	1	0
rxn00500_c0	0	1	0	0	0	0	0	0	0	0	0	0	0
rxn00503_c0	1	0	0	0	1	1	1	0	1	0	0	0	0
rxn00504_c0	0	1	1	0	0	0	0	1	0	0	1	1	0
rxn00505_c0	1	1	1	1	1	1	1	1	1	1	1	1	0
rxn00506_c0	1	1	1	1	1	1	1	1	1	0	1	1	0
rxn00512_c0	0	0	0	0	0	0	0	0	0	0	0	0	1
